name,message
Debate attacks on Ted Cruz could be preview of things to come,"Donald J. Trump may have given Ted Cruz a pass at #GOPDebate, but he was a target for other challengers.The next seven weeks could see a barrage of attacks against Cruz, led by one candidate in particular."
Chris Christie: Russia 'stealing our lunch money',"After Tuesday night's #GOPDebate, Chris Christie is standing by his willingness to shoot down Russian planes if they violate his proposed no-fly zone."
